Profile Name;Start Time;Duration;Attributes;Title;Supplemental Video Type;Device Type;Bookmark;Latest Bookmark;Country
Charlie;20/3/2013 05:17;00:00:05;;Star Trek: Deep Space Nine: Season 5: Empok Nor (Episode 24);;Mac;00:00:05;Not latest view;US (United States)
Charlie;20/3/2013 04:27;00:44:31;;Star Trek: Deep Space Nine: Season 5: Blaze of Glory (Episode 23);;Mac;00:44:31;Not latest view;US (United States)
Charlie;20/3/2013 04:05;00:22:06;;Star Trek: Deep Space Nine: Season 5: Children of Time (Episode 22);;Mac;00:44:37;0:44:37;US (United States)
Charlie;20/3/2013 00:20;00:48:14;;The Invisible War;;Microsoft Xbox 360;00:53:18;0:53:18;US (United States)
Charlie;20/3/2013 00:10;00:04:51;;The Invisible War;;Mac;00:05:01;Not latest view;US (United States)
Charlie;19/3/2013 22:34;00:22:29;;Star Trek: Deep Space Nine: Season 5: Children of Time (Episode 22);;Mac;00:22:31;Not latest view;US (United States)
Charlie;19/3/2013 05:07;00:33:10;;Star Trek: Deep Space Nine: Season 5: Soldiers of the Empire (Episode 21);;Mac;00:44:42;0:44:42;US (United States)
Charlie;18/3/2013 23:57;00:11:36;;Star Trek: Deep Space Nine: Season 5: Soldiers of the Empire (Episode 21);;Mac;00:11:36;Not latest view;US (United States)
Charlie;18/3/2013 23:26;00:31:32;;Star Trek: Deep Space Nine: Season 5: Ferengi Love Songs (Episode 20);;Mac;00:44:30;0:44:30;US (United States)
Charlie;18/3/2013 23:25;00:00:02;;The Office (U.S.): Season 5: The Duel (Episode 12);;Mac;00:00:01;Not latest view;US (United States)
Charlie;18/3/2013 23:04;00:21:07;;The Office (U.S.): Season 5: Moroccan Christmas (Episode 11);;Mac;00:21:06;Not latest view;US (United States)
Charlie;18/3/2013 22:42;00:21:30;;The Office (U.S.): Season 5: The Surplus (Episode 10);;Mac;00:21:29;Not latest view;US (United States)
Charlie;18/3/2013 22:21;00:20:55;;The Office (U.S.): Season 5: Frame Toby (Episode 9);;Mac;00:20:55;Not latest view;US (United States)
Charlie;18/3/2013 22:20;00:00:55;;The Office (U.S.): Season 5: Business Trip (Episode 8);;Mac;00:21:09;Not latest view;US (United States)
Charlie;18/3/2013 20:29;00:20:15;;The Office (U.S.): Season 5: Business Trip (Episode 8);;Mac;00:20:17;Not latest view;US (United States)
Charlie;18/3/2013 20:07;00:21:21;;The Office (U.S.): Season 5: Customer Survey (Episode 7);;Mac;00:21:23;Not latest view;US (United States)
Charlie;18/3/2013 19:46;00:21:14;;The Office (U.S.): Season 5: Employee Transfer (Episode 6);;Mac;00:21:15;Not latest view;US (United States)
Charlie;18/3/2013 19:24;00:21:34;;The Office (U.S.): Season 5: Crime Aid (Episode 5);;Mac;00:21:36;Not latest view;US (United States)
Charlie;18/3/2013 18:20;00:21:12;;The Office (U.S.): Season 5: Baby Shower (Episode 4);;Mac;00:21:14;Not latest view;US (United States)
Charlie;18/3/2013 17:54;00:21:15;;The Office (U.S.): Season 5: Business Ethics (Episode 3);;Mac;00:21:16;Not latest view;US (United States)
Charlie;18/3/2013 17:36;00:15:50;;The Office (U.S.): Season 5: Weight Loss: Part 2 (Episode 2);;Mac;00:21:06;Not latest view;US (United States)
Charlie;18/3/2013 05:35;00:05:20;;The Office (U.S.): Season 5: Weight Loss: Part 2 (Episode 2);;Mac;00:05:20;Not latest view;US (United States)
Charlie;18/3/2013 05:00;00:21:02;;The Office (U.S.): Season 5: Weight Loss: Part 1 (Episode 1);;Mac;00:21:03;Not latest view;US (United States)
Charlie;18/3/2013 04:27;00:32:37;;The Office (U.S.): Season 4: Goodbye, Toby (Episode 14);;Mac;00:41:27;Not latest view;US (United States)
Charlie;17/3/2013 05:40;00:08:52;;The Office (U.S.): Season 4: Goodbye, Toby (Episode 14);;Mac;00:08:52;Not latest view;US (United States)
Charlie;17/3/2013 05:10;00:20:18;;The Office (U.S.): Season 4: Job Fair (Episode 13);;Mac;00:20:20;Not latest view;US (United States)
Charlie;17/3/2013 04:48;00:21:41;;The Office (U.S.): Season 4: Did I Stutter (Episode 12);;Mac;00:21:42;Not latest view;US (United States)
Charlie;17/3/2013 04:31;00:15:51;;The Office (U.S.): Season 4: Night Out (Episode 11);;Mac;00:20:48;Not latest view;US (United States)
Charlie;16/3/2013 20:14;00:04:59;;The Office (U.S.): Season 4: Night Out (Episode 11);;Mac;00:04:58;Not latest view;US (United States)
Charlie;16/3/2013 19:52;00:21:21;;The Office (U.S.): Season 4: The Chair Model (Episode 10);;Mac;00:21:20;Not latest view;US (United States)
Charlie;16/3/2013 19:31;00:21:54;;The Office (U.S.): Season 4: Dinner Party (Episode 9);;Mac;00:21:54;Not latest view;US (United States)
Charlie;16/3/2013 19:11;00:19:08;;The Office (U.S.): Season 4: The Deposition (Episode 8);;Mac;00:21:11;Not latest view;US (United States)
Charlie;16/3/2013 18:29;00:02:06;;The Office (U.S.): Season 4: The Deposition (Episode 8);;Apple iPhone 5 with CDMA;00:02:06;Not latest view;US (United States)
Charlie;16/3/2013 06:03;00:20:42;;The Office (U.S.): Season 4: Survivor Man (Episode 7);;Mac;00:20:43;Not latest view;US (United States)
Charlie;16/3/2013 05:40;00:21:10;;The Office (U.S.): Season 4: Local Ad (Episode 5);;Mac;00:21:11;Not latest view;US (United States)
Charlie;16/3/2013 04:59;00:41:32;;The Office (U.S.): Season 4: Money (Episode 4);;Mac;00:41:39;Not latest view;US (United States)
Charlie;16/3/2013 04:51;00:07:40;;The Office (U.S.): Season 4: Launch Party (Episode 3);;Mac;00:41:30;Not latest view;US (United States)
Charlie;16/3/2013 01:32;00:01:02;;The Office (U.S.): Season 4: Launch Party (Episode 3);;Mac;00:33:52;Not latest view;US (United States)
